"","year","catch","year.index1","index1","year.index2","index2","year.index3","index3"
"1",1980,16736,NA,NA,NA,NA,NA,NA
"2",1981,21331,NA,NA,NA,NA,NA,NA
"3",1982,17968,NA,NA,NA,NA,NA,NA
"4",1983,12406,NA,NA,NA,NA,NA,NA
"5",1984,14999,NA,NA,NA,NA,NA,NA
"6",1985,18169,NA,NA,NA,NA,NA,NA
"7",1986,12129,NA,NA,NA,NA,NA,NA
"8",1987,14270,NA,NA,NA,NA,NA,NA
"9",1988,11856,NA,NA,NA,NA,1988.75,1.6042
"10",1989,13408,NA,NA,NA,NA,1989.75,1.2747
"11",1990,10656,NA,NA,NA,NA,1990.75,2.0064
"12",1991,9946,NA,NA,NA,NA,1991.75,1.3625
"13",1992,12791,1992.125,143.646892506,NA,NA,1992.75,9.888
"14",1993,9230,1993.125,198.387416986,1993.875,121.501663324,1993.75,4.3985
"15",1994,7936,1994.125,225.612220476,1994.875,126.521927969,1994.75,5.775
"16",1995,7044,1995.125,179.766675189,1995.875,61.295294422,1995.75,4.1151
"17",1996,7966,1996.125,291.391807555,1996.875,57.165145888,1996.75,8.148
"18",1997,4205,1997.125,226.107511836,1997.875,97.742052854,1997.75,9.3218
"19",1998,3533,1998.125,115.76407814,1998.875,47.078992423,1998.75,6.4078
"20",1999,2762,1999.125,154.293423542,1999.875,75.175513316,1999.75,4.2881
"21",2000,2880,2000.125,127.446180401,2000.875,56.800080492,2000.75,3.8064
"22",2001,1745,2001.125,179.889868265,2001.875,49.919337139,2001.75,5.7135
"23",2002,1487,2002.125,163.645374961,2002.875,75.25760802,2002.75,2.78784
"24",2003,997,2003.125,83.710249,2003.875,159.961598,2003.75,6.412
"25",2004,1038,2004.125,44.43911,2004.875,76.190233,2004.75,9.57
"26",2005,397,2005.125,61.448358,2005.875,36.75017,2005.75,9.408
"27",2006,1837,2006.125,48.896781,2006.875,11.443741,2006.75,7.524
"28",2007,1547,2007.125,68.427085,2007.875,54.263877,2007.75,3.115
"29",2008,1206,2008.125,64.590835,2008.875,50.931589,2008.75,2.232
"30",2009,1360,2009.125,81.332714,2009.875,24.554523,2009.75,12.243
"31",2010,1184,2010.125,39.536868,2010.875,31.888824,2010.75,1.089
"32",2011,977,2011.125,67.621947,2011.875,27.81955,2011.75,10.571
"33",2012,1399,2012.125,81.844051,2012.875,28.354024,2012.75,13.632
"34",2013,981,2013.125,73.600818,2013.875,30.954241,2013.75,7.524
"35",2014,1974,2014.125,147.157193,2014.875,32.005399,2014.75,4.181
"36",2015,1549,2015.125,141.290835,2015.875,44.545907,2015.75,4.144
